DATE,"RHAV (Relative Humidity, Average)",TAVG,TMAX,TMIN
2014-01,65.31451612903226,22.129032258064516,30.35483870967742,13.096774193548388
2014-02,65.94642857142857,24.589285714285715,32.169642857142854,14.946428571428571
2014-03,57.41129032258065,31.975806451612904,41.5,22.612903225806452
2014-04,57.653333333333336,49.446666666666665,60.413333333333334,37.86666666666667
2014-05,64.26451612903226,61.038709677419355,71.85161290322581,50.380645161290325
2014-06,66.94,70.60666666666667,80.58666666666667,60.413333333333334
2014-07,66.9483870967742,72.50967741935484,82.41935483870968,63.03225806451613
2014-08,69.33116883116882,70.14935064935065,80.44805194805195,60.5
2014-09,70.46666666666667,65.09333333333333,75.98,55.13333333333333
2014-10,68.32903225806452,55.91612903225806,64.50322580645161,46.41935483870968
2014-11,61.06666666666667,39.7,47.108333333333334,31.566666666666666
2014-12,70.80645161290323,36.348387096774196,41.883870967741935,30.34193548387097
2015-01,65.91129032258064,24.596774193548388,32.00806451612903,16.217741935483872
2015-03,62.274193548387096,33.16935483870968,42.12903225806452,24.112903225806452
2015-04,58.38,50.346666666666664,61.553333333333335,39.0
2015-05,61.090322580645164,66.24516129032259,77.98064516129033,54.270967741935486
2015-06,71.81333333333333,69.62666666666667,78.89333333333333,60.82
2015-07,68.56774193548387,73.49032258064516,83.46451612903226,63.458064516129035
2015-08,66.10322580645162,72.49032258064516,83.21290322580646,62.096774193548384
2015-09,69.03333333333333,69.04,80.22666666666667,58.94
2015-10,67.10322580645162,53.34193548387097,63.47096774193548,43.535483870967745
2015-11,65.1,48.43333333333333,57.74,38.5
2015-12,76.08387096774193,44.645161290322584,51.329032258064515,37.729032258064514
2016-01,64.59649122807018,28.859649122807017,36.728070175438596,20.81578947368421
2016-02,65.16071428571429,33.00892857142857,41.75,24.241071428571427
2016-03,58.651612903225804,45.464516129032255,56.748387096774195,34.36129032258064
2016-04,55.06666666666667,49.4,59.7,37.49333333333333
2016-05,65.96774193548387,60.2,70.29032258064517,50.27741935483871
2016-06,60.846666666666664,70.77333333333333,81.36,59.43333333333333
2016-07,65.54838709677419,76.49677419354839,87.33548387096774,66.0
2016-08,71.38709677419355,76.09677419354838,86.28387096774193,66.43225806451613
2016-09,70.68,68.92666666666666,79.86,58.153333333333336
2016-10,73.13548387096775,56.13548387096774,65.91612903225807,46.619354838709675
2016-11,67.10344827586206,45.42068965517242,55.56551724137931,35.83448275862069
2016-12,67.96774193548387,33.961290322580645,40.464516129032255,27.058064516129033
2017-01,73.06451612903226,34.23870967741936,40.18064516129032,27.683870967741935
2017-02,63.19090909090909,38.336363636363636,47.85454545454545,29.263636363636362
2017-03,63.62903225806452,36.99193548387097,45.25,28.54032258064516
2017-04,63.14,55.93333333333333,66.92666666666666,45.16
2017-05,68.21290322580646,59.49032258064516,68.61290322580645,50.27741935483871
2017-06,66.74,70.29333333333334,80.55333333333333,59.76
2017-07,72.69032258064516,74.27096774193548,83.78709677419354,65.34838709677419
2017-08,73.49677419354839,70.41935483870968,80.4258064516129,61.303225806451614
2017-09,74.48,66.42666666666666,77.29333333333334,56.846666666666664
2017-10,72.2516129032258,59.3741935483871,69.50322580645161,49.303225806451614
2017-11,67.75333333333333,42.39333333333333,51.626666666666665,32.92666666666667
2017-12,67.44354838709677,30.862903225806452,36.87903225806452,23.81451612903226
2018-01,69.15322580645162,26.524193548387096,35.03225806451613,17.68548387096774
2018-02,73.84821428571429,35.625,44.25,27.732142857142858
2018-03,63.75806451612903,35.16935483870968,42.774193548387096,27.927419354838708
2018-04,60.75333333333333,45.306666666666665,55.306666666666665,35.82
2018-05,70.04516129032258,65.48387096774194,75.90322580645162,55.16129032258065
2018-06,67.37333333333333,70.04,79.87333333333333,59.766666666666666
2018-07,69.00645161290322,75.13548387096775,85.3225806451613,65.14838709677419
2018-08,75.99354838709678,74.89032258064516,84.00645161290322,67.34838709677419
2018-09,79.86666666666666,68.59333333333333,76.88,61.64666666666667
2018-10,73.49032258064516,54.92903225806452,62.99354838709677,47.303225806451614
2018-11,71.9322033898305,39.02542372881356,44.58474576271186,32.97457627118644
2018-12,72.76774193548387,36.43225806451613,42.81935483870968,29.81935483870968
2019-01,66.69354838709677,28.056451612903224,34.87903225806452,20.330645161290324
2019-02,68.0,31.423423423423422,39.67567567567568,24.063063063063062
2019-03,57.99354838709677,37.78709677419355,46.78064516129032,27.92258064516129
2019-04,63.083333333333336,52.15,62.38333333333333,42.7
2019-05,70.85161290322581,62.24516129032258,72.23225806451613,53.12258064516129
2019-06,68.28333333333333,68.725,78.65,58.858333333333334
2019-07,70.20645161290322,76.64516129032258,86.97419354838709,67.30967741935484
2019-08,69.33548387096774,72.97419354838709,83.30322580645161,63.748387096774195
2019-09,69.08,67.82,78.80666666666667,58.07333333333333
2019-10,71.24516129032259,56.851612903225806,66.56774193548387,47.58064516129032
2019-11,62.46,39.75333333333333,47.74666666666667,31.266666666666666
2019-12,70.16233766233766,35.27272727272727,42.077922077922075,28.25974025974026
2020-01,66.16129032258064,35.2,42.41935483870968,27.36774193548387
2020-02,64.13793103448276,35.8,43.48275862068966,28.26896551724138
2020-03,62.270967741935486,44.81290322580645,54.438709677419354,35.8
2020-04,59.68666666666667,47.846666666666664,57.42666666666667,38.39333333333333
2020-05,59.70322580645161,59.251612903225805,69.34838709677419,48.961290322580645
2020-06,62.913333333333334,70.72666666666667,81.74,59.45333333333333
2020-07,65.93548387096774,78.03870967741935,89.01290322580645,68.11612903225806
2020-08,67.35483870967742,74.58064516129032,85.12903225806451,65.03870967741935
2020-09,67.55333333333333,65.54666666666667,76.12666666666667,55.14666666666667
2020-10,71.54193548387097,55.14193548387097,64.05806451612904,46.24516129032258
2020-11,64.78333333333333,47.775,57.94166666666667,38.141666666666666
2020-12,67.35483870967742,35.25806451612903,41.75,28.18548387096774
2021-01,67.80645161290323,31.967741935483872,37.266129032258064,26.588709677419356
2021-02,65.67857142857143,29.366071428571427,35.455357142857146,22.919642857142858
2021-03,53.314516129032256,43.63709677419355,54.36290322580645,32.79838709677419
2021-04,57.02739726027397,52.24657534246575,62.37671232876713,41.45890410958904
2021-05,59.74193548387097,60.193548387096776,71.05645161290323,49.645161290322584
2021-06,65.2,72.35833333333333,82.79166666666667,62.55833333333333
2021-07,71.39516129032258,73.59677419354838,83.12096774193549,65.11290322580645
2021-08,72.66129032258064,75.04838709677419,84.62096774193549,67.3225806451613
2021-09,71.74166666666666,67.18333333333334,76.58333333333333,58.25
2021-10,76.70161290322581,60.13709677419355,68.5,52.725806451612904
2021-11,65.89166666666667,41.55833333333333,50.5,33.06666666666667
2021-12,66.19354838709677,40.056451612903224,47.49193548387097,33.04032258064516
2022-01,63.37096774193548,25.379032258064516,32.78225806451613,16.516129032258064
2022-02,62.07272727272727,32.336363636363636,41.9,22.90909090909091
2022-03,59.868852459016395,41.614754098360656,51.959016393442624,31.762295081967213
2022-04,57.55,49.19166666666667,58.775,39.59166666666667
2022-05,63.645161290322584,63.04032258064516,73.85483870967742,52.63709677419355
2022-06,61.20168067226891,69.91596638655462,80.1344537815126,59.2436974789916
2022-07,63.13709677419355,75.83870967741936,86.25,65.41935483870968
2022-08,67.10483870967742,74.53225806451613,85.40322580645162,65.33064516129032
2022-09,73.575,65.45833333333333,74.35833333333333,56.875
2022-10,69.5,52.16101694915254,62.36440677966102,42.69491525423729
2022-11,66.92222222222222,45.855555555555554,55.21111111111111,36.7
2022-12,71.76612903225806,33.07258064516129,40.403225806451616,25.911290322580644
2023-01,72.65555555555555,38.25555555555555,44.166666666666664,31.733333333333334
2023-02,62.669642857142854,36.75,47.82142857142857,26.714285714285715
2023-03,63.08064516129032,39.435483870967744,48.08064516129032,31.330645161290324
2023-04,59.8,54.053333333333335,65.3,42.82666666666667
2023-05,57.32258064516129,59.04032258064516,71.25,46.20161290322581
2023-06,66.00833333333334,67.51666666666667,78.025,57.525
2023-07,73.3225806451613,74.54838709677419,84.2741935483871,65.79838709677419
2023-08,72.1869918699187,71.20325203252033,80.26829268292683,62.886178861788615
2023-09,74.77333333333333,65.88666666666667,75.64666666666666,57.52
2023-10,71.83225806451613,56.45161290322581,65.73548387096774,47.94838709677419
2023-11,63.346666666666664,42.14666666666667,51.7,32.57333333333333
2023-12,68.5,39.0,41.25,35.25
2024-01,71.52066115702479,32.63636363636363,38.04132231404959,26.59504132231405
2024-02,64.15517241379311,36.68103448275862,45.56896551724138,27.71551724137931
2024-03,63.75806451612903,44.185483870967744,53.354838709677416,35.21774193548387
2024-04,63.166666666666664,53.08,63.24,42.96
2024-05,70.3741935483871,64.12903225806451,73.81290322580645,54.78709677419355
2024-06,63.24,72.88,83.59333333333333,61.82
2024-07,66.99354838709678,76.32903225806452,86.55483870967743,66.6258064516129
